#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  137.8500	    44.1300	     0.8156	  1459.7038	   212.9481	  1672.6519	   585.4700	   585.4700	   576.4000	   324.6300	     4.7550	     4.7300	   757.1800	 regenerative cooling, opposite flow	 
  139.4400	    43.6800	     0.8303	  1485.0377	   213.2233	  1698.2610	   586.6300	   586.6300	   577.4200	   324.3100	     4.7560	     4.7800	   757.5100	 regenerative cooling, opposite flow	 
  141.0300	    43.1700	     0.8475	  1514.7168	   213.4610	  1728.1779	   587.9000	   587.9000	   578.5600	   323.9800	     4.7560	     4.8300	   757.8500	 regenerative cooling, opposite flow	 
  142.6100	    42.6100	     0.8675	  1549.2911	   213.0571	  1762.3482	   589.2400	   589.2400	   579.7200	   323.6500	     4.7560	     4.8900	   758.1900	 regenerative cooling, opposite flow	 
  144.2000	    41.9800	     0.8905	  1588.9932	   213.0004	  1801.9936	   590.7800	   590.7800	   581.0300	   323.3100	     4.7560	     4.9600	   758.5400	 regenerative cooling, opposite flow	 
  145.7900	    41.2900	     0.9171	  1634.9218	   212.8518	  1847.7735	   592.4500	   592.4500	   582.4700	   322.9700	     4.7570	     5.0300	   758.9000	 regenerative cooling, opposite flow	 
  147.3700	    40.5400	     0.9478	  1688.1002	   211.0247	  1899.1249	   594.1100	   594.1100	   583.8500	   322.6100	     4.7570	     5.1200	   759.2700	 regenerative cooling, opposite flow	 
  148.9600	    39.7100	     0.9831	  1748.8569	   211.3714	  1960.2283	   596.2100	   596.2100	   585.6300	   322.2500	     4.7570	     5.2200	   759.6500	 regenerative cooling, opposite flow	 
  150.5400	    38.8100	     1.0239	  1819.1265	   210.6214	  2029.7478	   598.4100	   598.4100	   587.4600	   321.8700	     4.7580	     5.3400	   760.0400	 regenerative cooling, opposite flow	 
  152.1300	    37.8900	     1.0679	  1894.9109	   210.2230	  2105.1339	   600.7600	   600.7600	   589.3700	   321.4900	     4.7580	     5.4600	   760.4400	 regenerative cooling, opposite flow	 
  153.7200	    36.9800	     1.1148	  1975.5151	   209.6546	  2185.1697	   603.1000	   603.1000	   591.3000	   321.1000	     4.7590	     5.5900	   760.8400	 regenerative cooling, opposite flow	 
  155.3000	    36.0600	     1.1652	  2061.9050	   209.1752	  2271.0801	   605.6000	   605.6000	   593.3400	   320.7000	     4.7590	     5.7200	   761.2500	 regenerative cooling, opposite flow	 
  156.8900	    35.1500	     1.2189	  2153.9407	   208.2231	  2362.1638	   608.0900	   608.0900	   595.3400	   320.3000	     4.7590	     5.8600	   761.6700	 regenerative cooling, opposite flow	 
  158.4800	    34.2300	     1.2763	  2252.0697	   206.5377	  2458.6074	   610.6600	   610.6600	   597.3800	   319.8900	     4.7600	     6.0100	   762.0900	 regenerative cooling, opposite flow	 
  160.0600	    33.3100	     1.3372	  2355.4078	   207.5634	  2562.9712	   613.6800	   613.6800	   599.8500	   319.4700	     4.7600	     6.1600	   762.5100	 regenerative cooling, opposite flow	 
  161.6500	    32.4000	     1.4029	  2467.1854	   205.3226	  2672.5081	   616.5300	   616.5300	   602.1100	   319.0500	     4.7610	     6.3200	   762.9400	 regenerative cooling, opposite flow	 
  163.2400	    31.4800	     1.4734	  2586.7688	   203.3868	  2790.1556	   619.4500	   619.4500	   604.4000	   318.6200	     4.7610	     6.5000	   763.3700	 regenerative cooling, opposite flow	 
  164.8200	    30.5700	     1.5493	  2715.1942	   202.6673	  2917.8615	   622.5800	   622.5800	   606.8400	   318.1800	     4.7620	     6.6800	   763.8100	 regenerative cooling, opposite flow	 
  166.4100	    29.6500	     1.6308	  2852.9873	   202.2414	  3055.2288	   625.7600	   625.7600	   609.2900	   317.7400	     4.7630	     6.8700	   764.2600	 regenerative cooling, opposite flow	 
  167.9900	    28.7400	     1.7191	  3001.9576	   200.3050	  3202.2625	   628.9100	   628.9100	   611.6500	   317.2900	     4.7630	     7.0700	   764.7200	 regenerative cooling, opposite flow	 
  169.5800	    27.8200	     1.8143	  3162.6231	   197.2194	  3359.8425	   632.0200	   632.0200	   613.9000	   316.8300	     4.7640	     7.2900	   765.1900	 regenerative cooling, opposite flow	 
  171.1700	    26.9000	     1.9176	  3336.5755	   193.6468	  3530.2222	   635.1600	   635.1600	   616.1400	   316.3600	     4.7650	     7.5200	   765.6600	 regenerative cooling, opposite flow	 
